
-- THỨ 2 (27/07)
-- Sáng (ĐỦ NHƯNG OVERLAP NẶNG: 8 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1003, '2026-07-27', '08:00', '12:00', 0, 0);
-- Tối (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1011, '2026-07-31', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1012, '2026-07-31', '17:00', '21:00', 0, 0);
-- THỨ 7 (01/08)
-- Sáng (ĐỦ NHƯNG OVERLAP NHIỀU: 5 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1013, '2026-08-01', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1014, '2026-08-01', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1015, '2026-08-01', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1016, '2026-08-01', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1017, '2026-08-01', '08:00', '12:00', 0, 0);
-- Chiều (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1018, '2026-08-01', '13:00', '17:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1019, '2026-08-01', '13:00', '17:00', 0, 0);
-- Tối (Thiếu: 1 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1020, '2026-08-01', '17:00', '21:00', 0, 0);
-- CHỦ NHẬT (02/08)
-- Sáng (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1021, '2026-08-02', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1022, '2026-08-02', '08:00', '12:00', 0, 0);
-- Chiều (KHÔNG ĐẠT: 0 NV) 
-- (Cố ý bỏ trống, không có Insert)
-- Tối (ĐỦ NHƯNG OVERLAP NẶNG: 7 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1003, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1005, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1007, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1009, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1011, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1013, '2026-08-02', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1015, '2026-08-02', '17:00', '21:00', 0, 0);
